series	series_original	compartment
United Kingdom_Clyde_ClydeEstuaryOuter_sh01 CB138 Mytilus edulis SB Not_applicable	United Kingdom_Clyde_ClydeEstuaryOuter_sh01 CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_Clyde_FirthCInnerDunoon_sh01 CB138 Mytilus edulis SB Not_applicable	United Kingdom_Clyde_FirthCInnerDunoon_sh01 CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_Clyde_FirthCInnerDunoon_fi01 CB138 Limanda limanda LI Not_applicable	United Kingdom_Clyde_FirthCInnerDunoon_fi01 CB138 Limanda limanda LI Not_applicable	biota
Ireland_Arthurstown CB138 Mytilus edulis SB Not_applicable	Ireland_Arthurstown CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Bannow Bay CB138 Mytilus edulis SB Not_applicable	Ireland_Bannow Bay CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Barrow Suir Nore Estuary CB138 Mytilus edulis SB Not_applicable	Ireland_Barrow Suir Nore Estuary CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Boyne Estuary CB138 Mytilus edulis SB Not_applicable	Ireland_Boyne Estuary CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Broadmeadow Water CB138 Mytilus edulis SB Not_applicable	Ireland_Broadmeadow Water CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Carlingford Lough Inner Stn 2 CB138 Mytilus edulis SB Not_applicable	Ireland_Carlingford Lough Inner Stn 2 CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Cheekpoint CB138 Mytilus edulis SB Not_applicable	Ireland_Cheekpoint CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Dublin Bay Stn 2 CB138 Mytilus edulis SB Not_applicable	Ireland_Dublin Bay Stn 2 CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Duncannon CB138 Crassostrea gigas SB Not_applicable	Ireland_Duncannon CB138 Crassostrea gigas SB Not_applicable	biota
Ireland_Liffey Estuary Lower CB138 Mytilus edulis SB Not_applicable	Ireland_Liffey Estuary Lower CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Rogerstown Estuary CB138 Mytilus edulis SB Not_applicable	Ireland_Rogerstown Estuary CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Slaney Estuary Lower CB138 Mytilus edulis SB Not_applicable	Ireland_Slaney Estuary Lower CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Wexford Harbour Outer CB138 Mytilus edulis SB Not_applicable	Ireland_Wexford Harbour Outer CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Dundalk Bay Inner CB138 Mytilus edulis SB Not_applicable	Ireland_Dundalk Bay Inner CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_Clyde_LochLongNorth_sh01 CB138 Mytilus edulis SB Not_applicable	United Kingdom_Clyde_LochLongNorth_sh01 CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_IrishSea_Mersey_sh01 CB138 Mytilus edulis SB Not_applicable	United Kingdom_IrishSea_Mersey_sh01 CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_IrishSea_Ribble_sh01 CB138 Mytilus edulis SB Not_applicable	United Kingdom_IrishSea_Ribble_sh01 CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_Clyde_ClydeEstuaryOuter_sh02 CB138 Mytilus edulis SB Not_applicable	United Kingdom_Clyde_ClydeEstuaryOuter_sh02 CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_CardBay_CBInter_fi01 CB138 Limanda limanda LI Not_applicable	United Kingdom_CardBay_CBInter_fi01 CB138 Limanda limanda LI Not_applicable	biota
United Kingdom_Clyde_FirthCInnerDunoon_fi01 CB138 Pleuronectes platessa LI Not_applicable	United Kingdom_Clyde_FirthCInnerDunoon_fi01 CB138 Pleuronectes platessa LI Not_applicable	biota
United Kingdom_Clyde_FirthCMiddleOffshor_fi01 CB138 Pleuronectes platessa LI Not_applicable	United Kingdom_Clyde_FirthCMiddleOffshor_fi01 CB138 Pleuronectes platessa LI Not_applicable	biota
United Kingdom_Clyde_LargsChannel_fi01 CB138 Pleuronectes platessa LI Not_applicable	United Kingdom_Clyde_LargsChannel_fi01 CB138 Pleuronectes platessa LI Not_applicable	biota
Ireland_Sutton CB138 Mytilus edulis SB Not_applicable	Ireland_Sutton CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_IrishSea_BalcaryPoint_fi01 CB138 Pleuronectes platessa LI Not_applicable	United Kingdom_IrishSea_BalcaryPoint_fi01 CB138 Pleuronectes platessa LI Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi04 CB138 Limanda limanda LI Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi04 CB138 Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi06 CB138 Limanda limanda LI Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi06 CB138 Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi02 CB138 Limanda limanda LI Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi02 CB138 Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi01 CB138 Limanda limanda LI Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi01 CB138 Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi03 CB138 Limanda limanda LI Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi03 CB138 Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_IrSOpenSea_fi04 CB138 Limanda limanda LI Not_applicable	United Kingdom_IrishSea_IrSOpenSea_fi04 CB138 Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_LiverpoolBay_sh01 CB138 Mytilus edulis SB Not_applicable	United Kingdom_IrishSea_LiverpoolBay_sh01 CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_Clyde_ClydeEstuaryOuter_fi02 CB138 Platichthys flesus LI Not_applicable	United Kingdom_Clyde_ClydeEstuaryOuter_fi02 CB138 Platichthys flesus LI Not_applicable	biota
Spain_PMGC CB138 Merluccius merluccius LI Not_applicable	Spain_PMGC CB138 Merluccius merluccius LI Not_applicable	biota
Portugal_Comporta CB138 Callista chione SB Not_applicable	Portugal_Comporta CB138 Callista chione SB Not_applicable	biota
Portugal_Comporta CB138 Ensis ensis SB Not_applicable	Portugal_Comporta CB138 Ensis ensis SB Not_applicable	biota
Portugal_Caparica CB138 Donax trunculus SB Not_applicable	Portugal_Caparica CB138 Donax trunculus SB Not_applicable	biota
Portugal_Caparica CB138 Ensis ensis SB Not_applicable	Portugal_Caparica CB138 Ensis ensis SB Not_applicable	biota
Portugal_Caparica CB138 Mytilus edulis SB Not_applicable	Portugal_Caparica CB138 Mytilus edulis SB Not_applicable	biota
Portugal_Leirosa CB138 Mytilus edulis SB Not_applicable	Portugal_Leirosa CB138 Mytilus edulis SB Not_applicable	biota
Portugal_Leirosa CB138 Spisula solida SB Not_applicable	Portugal_Leirosa CB138 Spisula solida SB Not_applicable	biota
Portugal_Torreira CB138 Spisula solida SB Not_applicable	Portugal_Torreira CB138 Spisula solida SB Not_applicable	biota
Portugal_Aguda CB138 Spisula solida SB Not_applicable	Portugal_Aguda CB138 Spisula solida SB Not_applicable	biota
Portugal_Labruge CB138 Spisula solida SB Not_applicable	Portugal_Labruge CB138 Spisula solida SB Not_applicable	biota
France_Hendaye - Chingoudy 2 CB138 Crassostrea gigas SB Not_applicable	France_Hendaye - Chingoudy 2 CB138 Crassostrea gigas SB Not_applicable	biota
Spain_MCASUA CB138 Mytilus edulis SB Not_applicable	Spain_MCASUA CB138 Mytilus edulis SB Not_applicable	biota
Spain_PMGA CB138 Merluccius merluccius LI Not_applicable	Spain_PMGA CB138 Merluccius merluccius LI Not_applicable	biota
Spain_MGAARO CB138 Mytilus edulis SB Not_applicable	Spain_MGAARO CB138 Mytilus edulis SB Not_applicable	biota
Spain_MGACED CB138 Mytilus edulis SB Not_applicable	Spain_MGACED CB138 Mytilus edulis SB Not_applicable	biota
Spain_MGASMO CB138 Mytilus edulis SB Not_applicable	Spain_MGASMO CB138 Mytilus edulis SB Not_applicable	biota
Spain_MGAVSA CB138 Mytilus edulis SB Not_applicable	Spain_MGAVSA CB138 Mytilus edulis SB Not_applicable	biota
Spain_MGAFPA CB138 Mytilus edulis SB Not_applicable	Spain_MGAFPA CB138 Mytilus edulis SB Not_applicable	biota
Spain_MPVBIA CB138 Mytilus edulis SB Not_applicable	Spain_MPVBIA CB138 Mytilus edulis SB Not_applicable	biota
Spain_MGACHO CB138 Mytilus edulis SB Not_applicable	Spain_MGACHO CB138 Mytilus edulis SB Not_applicable	biota
Spain_MGAPOR CB138 Mytilus edulis SB Not_applicable	Spain_MGAPOR CB138 Mytilus edulis SB Not_applicable	biota
Spain_MGAESP CB138 Mytilus edulis SB Not_applicable	Spain_MGAESP CB138 Mytilus edulis SB Not_applicable	biota
Spain_MASAVI CB138 Mytilus edulis SB Not_applicable	Spain_MASAVI CB138 Mytilus edulis SB Not_applicable	biota
Spain_MASRIB CB138 Mytilus edulis SB Not_applicable	Spain_MASRIB CB138 Mytilus edulis SB Not_applicable	biota
Spain_MCAURD CB138 Mytilus edulis SB Not_applicable	Spain_MCAURD CB138 Mytilus edulis SB Not_applicable	biota
Spain_MPVFUE CB138 Mytilus edulis SB Not_applicable	Spain_MPVFUE CB138 Mytilus edulis SB Not_applicable	biota
Spain_PMCA CB138 Merluccius merluccius LI Not_applicable	Spain_PMCA CB138 Merluccius merluccius LI Not_applicable	biota
Spain_MGACTC CB138 Mytilus edulis SB Not_applicable	Spain_MGACTC CB138 Mytilus edulis SB Not_applicable	biota
Spain_MGACOR CB138 Mytilus edulis SB Not_applicable	Spain_MGACOR CB138 Mytilus edulis SB Not_applicable	biota
Spain_MASGIJ CB138 Mytilus edulis SB Not_applicable	Spain_MASGIJ CB138 Mytilus edulis SB Not_applicable	biota
Spain_MASLUA CB138 Mytilus edulis SB Not_applicable	Spain_MASLUA CB138 Mytilus edulis SB Not_applicable	biota
Spain_MGAPIN CB138 Mytilus edulis SB Not_applicable	Spain_MGAPIN CB138 Mytilus edulis SB Not_applicable	biota
Spain_MGARIB CB138 Mytilus edulis SB Not_applicable	Spain_MGARIB CB138 Mytilus edulis SB Not_applicable	biota
Spain_MCASVI CB138 Mytilus edulis SB Not_applicable	Spain_MCASVI CB138 Mytilus edulis SB Not_applicable	biota
Spain_MCASPE CB138 Mytilus edulis SB Not_applicable	Spain_MCASPE CB138 Mytilus edulis SB Not_applicable	biota
Spain_MCASPA CB138 Mytilus edulis SB Not_applicable	Spain_MCASPA CB138 Mytilus edulis SB Not_applicable	biota
France_Bonne Anse - Centre CB138 Ruditapes philippinarum SB Not_applicable	France_Bonne Anse - Centre CB138 Ruditapes philippinarum SB Not_applicable	biota
France_Agoût CB138 Ruditapes philippinarum SB Not_applicable	France_Agoût CB138 Ruditapes philippinarum SB Not_applicable	biota
France_La Touze CB138 Ruditapes decussatus SB Not_applicable	France_La Touze CB138 Ruditapes decussatus SB Not_applicable	biota
France_Les Rouches CB138 Ruditapes philippinarum SB Not_applicable	France_Les Rouches CB138 Ruditapes philippinarum SB Not_applicable	biota
France_Grand traict 2 CB138 Cerastoderma edule SB Not_applicable	France_Grand traict 2 CB138 Cerastoderma edule SB Not_applicable	biota
France_Joalland (b) CB138 Crassostrea gigas SB Not_applicable	France_Joalland (b) CB138 Crassostrea gigas SB Not_applicable	biota
France_L'Eguille CB138 Crassostrea gigas SB Not_applicable	France_L'Eguille CB138 Crassostrea gigas SB Not_applicable	biota
France_La Pointe de la Roche CB138 Mytilus edulis SB Not_applicable	France_La Pointe de la Roche CB138 Mytilus edulis SB Not_applicable	biota
France_Pointe Castelli CB138 Mytilus edulis SB Not_applicable	France_Pointe Castelli CB138 Mytilus edulis SB Not_applicable	biota
France_Le Croisic CB138 Mytilus edulis SB Not_applicable	France_Le Croisic CB138 Mytilus edulis SB Not_applicable	biota
France_Men er Roue CB138 Crassostrea gigas SB Not_applicable	France_Men er Roue CB138 Crassostrea gigas SB Not_applicable	biota
France_Pointe er Fosse CB138 Mytilus edulis SB Not_applicable	France_Pointe er Fosse CB138 Mytilus edulis SB Not_applicable	biota
France_Beg er Vil CB138 Crassostrea gigas SB Not_applicable	France_Beg er Vil CB138 Crassostrea gigas SB Not_applicable	biota
France_Bonne Anse - Palmyre CB138 Crassostrea gigas SB Not_applicable	France_Bonne Anse - Palmyre CB138 Crassostrea gigas SB Not_applicable	biota
France_Le Guilvin CB138 Crassostrea gigas SB Not_applicable	France_Le Guilvin CB138 Crassostrea gigas SB Not_applicable	biota
France_Talmont CB138 Crassostrea gigas SB Not_applicable	France_Talmont CB138 Crassostrea gigas SB Not_applicable	biota
France_Pointe de Chemoulin CB138 Mytilus edulis SB Not_applicable	France_Pointe de Chemoulin CB138 Mytilus edulis SB Not_applicable	biota
France_Pointe de Mousterlin CB138 Mytilus edulis SB Not_applicable	France_Pointe de Mousterlin CB138 Mytilus edulis SB Not_applicable	biota
France_Pontaillac CB138 Crassostrea gigas SB Not_applicable	France_Pontaillac CB138 Crassostrea gigas SB Not_applicable	biota
France_Riec sur Belon CB138 Crassostrea gigas SB Not_applicable	France_Riec sur Belon CB138 Crassostrea gigas SB Not_applicable	biota
France_Rivedoux CB138 Crassostrea gigas SB Not_applicable	France_Rivedoux CB138 Crassostrea gigas SB Not_applicable	biota
France_Roguedas CB138 Crassostrea gigas SB Not_applicable	France_Roguedas CB138 Crassostrea gigas SB Not_applicable	biota
France_Adour marégraphe CB138 Crassostrea gigas SB Not_applicable	France_Adour marégraphe CB138 Crassostrea gigas SB Not_applicable	biota
France_Baie de l'Aiguillon CB138 Crassostrea gigas SB Not_applicable	France_Baie de l'Aiguillon CB138 Crassostrea gigas SB Not_applicable	biota
France_Boyardville CB138 Crassostrea gigas SB Not_applicable	France_Boyardville CB138 Crassostrea gigas SB Not_applicable	biota
France_Cap Ferret CB138 Crassostrea gigas SB Not_applicable	France_Cap Ferret CB138 Crassostrea gigas SB Not_applicable	biota
France_Capbreton ouest CB138 Mytilus edulis SB Not_applicable	France_Capbreton ouest CB138 Mytilus edulis SB Not_applicable	biota
France_Châtelaillon CB138 Crassostrea gigas SB Not_applicable	France_Châtelaillon CB138 Crassostrea gigas SB Not_applicable	biota
France_Ciboure - La Nivelle CB138 Crassostrea gigas SB Not_applicable	France_Ciboure - La Nivelle CB138 Crassostrea gigas SB Not_applicable	biota
France_Comprian CB138 Crassostrea gigas SB Not_applicable	France_Comprian CB138 Crassostrea gigas SB Not_applicable	biota
France_Dagnas CB138 Crassostrea gigas SB Not_applicable	France_Dagnas CB138 Crassostrea gigas SB Not_applicable	biota
France_Ile Dumet (a) CB138 Mytilus edulis SB Not_applicable	France_Ile Dumet (a) CB138 Mytilus edulis SB Not_applicable	biota
France_La Fosse CB138 Crassostrea gigas SB Not_applicable	France_La Fosse CB138 Crassostrea gigas SB Not_applicable	biota
France_La Mouclière CB138 Mytilus edulis SB Not_applicable	France_La Mouclière CB138 Mytilus edulis SB Not_applicable	biota
France_Le Halguen CB138 Mytilus edulis SB Not_applicable	France_Le Halguen CB138 Mytilus edulis SB Not_applicable	biota
France_Les Jacquets CB138 Crassostrea gigas SB Not_applicable	France_Les Jacquets CB138 Crassostrea gigas SB Not_applicable	biota
France_Les Palles CB138 Crassostrea gigas SB Not_applicable	France_Les Palles CB138 Crassostrea gigas SB Not_applicable	biota
France_La Jument CB138 Mytilus edulis SB Not_applicable	France_La Jument CB138 Mytilus edulis SB Not_applicable	biota
France_Mus de loup CB138 Crassostrea gigas SB Not_applicable	France_Mus de loup CB138 Crassostrea gigas SB Not_applicable	biota
France_Noirmoutier - Gresse-loup CB138 Crassostrea gigas SB Not_applicable	France_Noirmoutier - Gresse-loup CB138 Crassostrea gigas SB Not_applicable	biota
France_Pen Bé CB138 Mytilus edulis SB Not_applicable	France_Pen Bé CB138 Mytilus edulis SB Not_applicable	biota
France_Hossegor limite nord parcs CB138 Crassostrea gigas SB Not_applicable	France_Hossegor limite nord parcs CB138 Crassostrea gigas SB Not_applicable	biota
France_Suguensou CB138 Crassostrea gigas SB Not_applicable	France_Suguensou CB138 Crassostrea gigas SB Not_applicable	biota
France_Bourgneuf - Coupelasse CB138 Crassostrea gigas SB Not_applicable	France_Bourgneuf - Coupelasse CB138 Crassostrea gigas SB Not_applicable	biota
Norway_19N Breøyane CB153 Somateria mollissima BL Not_applicable	Norway_19N Breøyane CB153 Somateria mollissima BL Not_applicable	biota
Norway_19N Breøyane CB153 Somateria mollissima EH Not_applicable	Norway_19N Breøyane CB153 Somateria mollissima EH Not_applicable	biota
Norway_97A3 Bodø harbour CB153 Mytilus edulis SB Not_applicable	Norway_97A3 Bodø harbour CB153 Mytilus edulis SB Not_applicable	biota
Norway_19B Isfjorden CB153 Gadus morhua LI Not_applicable	Norway_19B Isfjorden CB153 Gadus morhua LI Not_applicable	biota
Norway_I965 Moholmen (B5) CB153 Mytilus edulis SB Not_applicable	Norway_I965 Moholmen (B5) CB153 Mytilus edulis SB Not_applicable	biota
Norway_45B2 Hammerfest harbour CB153 Gadus morhua LI Not_applicable	Norway_45B2 Hammerfest harbour CB153 Gadus morhua LI Not_applicable	biota
Norway_97A2 Bodø harbour CB153 Mytilus edulis SB Not_applicable	Norway_97A2 Bodø harbour CB153 Mytilus edulis SB Not_applicable	biota
Norway_10A2 Skallneset CB153 Mytilus edulis SB Not_applicable	Norway_10A2 Skallneset CB153 Mytilus edulis SB Not_applicable	biota
Norway_11X Brashavn CB153 Mytilus edulis SB Not_applicable	Norway_11X Brashavn CB153 Mytilus edulis SB Not_applicable	biota
Norway_98A2 Husvaagen area CB153 Mytilus edulis SB Not_applicable	Norway_98A2 Husvaagen area CB153 Mytilus edulis SB Not_applicable	biota
Norway_43B2 Tromsø harbour CB153 Gadus morhua LI Not_applicable	Norway_43B2 Tromsø harbour CB153 Gadus morhua LI Not_applicable	biota
Norway_10B Varangerfjorden CB153 Gadus morhua LI Not_applicable	Norway_10B Varangerfjorden CB153 Gadus morhua LI Not_applicable	biota
Norway_98B1 Bjørnerøya (east) CB153 Gadus morhua LI Not_applicable	Norway_98B1 Bjørnerøya (east) CB153 Gadus morhua LI Not_applicable	biota
Iceland_Kálfavík CB153 Mytilus edulis SB Not_applicable	Iceland_Kálfavík CB153 Mytilus edulis SB Not_applicable	biota
Iceland_North-Northwest off Iceland CB153 Mytilus edulis SB Not_applicable	Iceland_North-Northwest off Iceland CB153 Mytilus edulis SB Not_applicable	biota
Denmark_Føroyskar hvalvágir CB153 Globicephala melas BB Juvenile_male	Denmark_Føroyskar hvalvágir CB153 Globicephala melas BB Juvenile_male	biota
Iceland_Hvalskurðara CB153 Mytilus edulis SB Not_applicable	Iceland_Hvalskurðara CB153 Mytilus edulis SB Not_applicable	biota
Iceland_Hvassahraun CB153 Mytilus edulis SB Not_applicable	Iceland_Hvassahraun CB153 Mytilus edulis SB Not_applicable	biota
Iceland_Mjoifjordur (Hofsa) CB153 Mytilus edulis SB Not_applicable	Iceland_Mjoifjordur (Hofsa) CB153 Mytilus edulis SB Not_applicable	biota
Iceland_Ulfsa Skutulsfjordur CB153 Mytilus edulis SB Not_applicable	Iceland_Ulfsa Skutulsfjordur CB153 Mytilus edulis SB Not_applicable	biota
Iceland_Mjoifjordur (head) CB153 Mytilus edulis SB Not_applicable	Iceland_Mjoifjordur (head) CB153 Mytilus edulis SB Not_applicable	biota
Iceland_Hvitanes Hvalfjordur CB153 Mytilus edulis SB Not_applicable	Iceland_Hvitanes Hvalfjordur CB153 Mytilus edulis SB Not_applicable	biota
Iceland_Northeast off Iceland CB153 Gadus morhua LI Not_applicable	Iceland_Northeast off Iceland CB153 Gadus morhua LI Not_applicable	biota
Iceland_North-Northwest off Iceland CB153 Gadus morhua LI Not_applicable	Iceland_North-Northwest off Iceland CB153 Gadus morhua LI Not_applicable	biota
Iceland_Straumur Straumsvik CB153 Mytilus edulis SB Not_applicable	Iceland_Straumur Straumsvik CB153 Mytilus edulis SB Not_applicable	biota
Denmark_Mýlingsgrunnur CB153 Gadus morhua LI Not_applicable	Denmark_Mýlingsgrunnur CB153 Gadus morhua LI Not_applicable	biota
Iceland_Mjoifjordur (Dalatangi) CB153 Mytilus edulis SB Not_applicable	Iceland_Mjoifjordur (Dalatangi) CB153 Mytilus edulis SB Not_applicable	biota
Norway_28A2 Ålesund harbour CB153 Mytilus edulis SB Not_applicable	Norway_28A2 Ålesund harbour CB153 Mytilus edulis SB Not_applicable	biota
Norway_I969 Bjørnbærviken (B9) CB153 Mytilus edulis SB Not_applicable	Norway_I969 Bjørnbærviken (B9) CB153 Mytilus edulis SB Not_applicable	biota
